Opus,Name,Part,Form
F12.01,Toccata avanti la Messa della Domenica,Missa della Domenica,Toccata
F12.02,Kyrie della domenica,Missa della Domenica,Kyrie
F12.03,Kyrie,Missa della Domenica,Kyrie
F12.04,Christe,Missa della Domenica,Christe
F12.05,Christe alio modo,Missa della Domenica,Christe
F12.06,Christe alio modo,Missa della Domenica,Christe
F12.07,Christe alio modo,Missa della Domenica,Christe
F12.08,Kyrie,Missa della Domenica,Kyrie
F12.09,Kyrie alio modo,Missa della Domenica,Kyrie
F12.10,Kyrie alio modo,Missa della Domenica,Kyrie
F12.11,Kyrie ultimo,Missa della Domenica,Kyrie
F12.12,Kyrie alio modo,Missa della Domenica,Kyrie
F12.13,Kyrie alio modo,Missa della Domenica,Kyrie
F12.14,Canzon dopo l'Epistola,Missa della Domenica,Canzon
F12.15,Recercar dopo il Credo,Missa della Domenica,Recercare
F12.16,Toccata cromatica per l'Elevazione,Missa della Domenica,Toccata
F12.17,Canzon post il Comune,Missa della Domenica,Canzon
F12.18,Toccata avanti la Messa delli Apostoli,Missa degli Apostoli,Toccata
F12.19,Kyrie delli Apostoli,Missa degli Apostoli,Kyrie
F12.20,Kyrie,Missa degli Apostoli,Kyrie
F12.21,Kyrie,Missa degli Apostoli,Kyrie
F12.22,Christe,Missa degli Apostoli,Christe
F12.23,Christe,Missa degli Apostoli,Christe
F12.24,Kyrie,Missa degli Apostoli,Kyrie
F12.25,Kyrie,Missa degli Apostoli,Kyrie
F12.26,Kyrie,Missa degli Apostoli,Kyrie
F12.27,Canzon dopo l'Epistola,Missa degli Apostoli,Canzon
F12.28,Toccata avanti il Recercar,Missa degli Apostoli,Toccata
F12.29,Recercar cromatico post il Credo,Missa degli Apostoli,Recercare
F12.30,Altro Recercar,Missa degli Apostoli,Recercare
F12.31,Toccata per l'Elevazione,Missa degli Apostoli,Toccata
F12.32,Recercar con obligo del basso come apare,Missa degli Apostoli,Recercare
F12.33,Canzon quarti toni dopo il post Comune,Missa degli Apostoli,Canzon
F12.34,Toccata avanti la Messa della Madonna,Missa della Madonna,Toccata
F12.35,Kyrie della Madonna,Missa della Madonna,Kyrie
F12.36,Kyrie,Missa della Madonna,Kyrie
F12.37,Christe,Missa della Madonna,Christe
F12.38,Christe,Missa della Madonna,Christe
F12.39,Kyrie,Missa della Madonna,Kyrie
F12.40,Kyrie,Missa della Madonna,Kyrie
F12.41,Canzon dopo l'Epistola,Missa della Madonna,Canzon
F12.42,Recercar dopo il Credo,Missa della Madonna,Recercare
F12.43,Toccata avanti il Recercar,Missa della Madonna,Toccata
F12.44,Recercar con obligo di cantare la quinta parte senza toccarla,Missa della Madonna,Recercare
F12.45,Toccata per l'Elevazione,Missa della Madonna,Toccata
F12.46,Bergamasca,secolare,Capriccio
F12.47,Capriccio sopra la Girolmeta,secolare,Capriccio
